IconLabel,SemanticType,Category
A,symbol,entity
Advent,time,function
Advent_calendar,action,action
Ash_Wednesday,time,function
B,entity,entity
Bonfire_Night,object,entity
Boxing_Day,time,function
C,action,action
CD_player_personal,device,entity
Christian,person,entity
Christmas,emission,action
Christmas_Day,time,function
Christmas_Eve,time,function
Christmas_bauble,noun,entity
Christmas_bell,object,entity
Christmas_cake,food,entity
Christmas_decorations,food,entity
Christmas_lights,object,entity
Christmas_pudding,food,entity
Christmas_sock,action,action
Christmas_tree,object,entity
Christmas_wreath,,other
Crucifixion,action,action
D,,other
DVD_player,object,entity
DVD_player_portable,object,entity
E,,other
Earth,entity,entity
Earth_crust,entity,entity
Earth_inner_core,object,entity
Earth_mantle,entity,entity
Earth_outer_core,place,entity
Earths_atmosphere,object,entity
Easter_egg,object,entity
Easter_egg_hunt,time,function
F,entity,entity
Father_Christmas,person,entity
Father_Christmas_sack,object,entity
G,quality,attribute
Guy_Fawkes,person,entity
H,object,entity
Halloween,time,function
Harvest_Festival,time,function
Houses_of_Parliament,entity,entity
I,person,entity
IT_assistant_1a,person,entity
IT_assistant_1b,,other
IT_assistant_2a,person,entity
IT_assistant_2b,person,entity
IT_class,,other
IT_room,location,function
J,moderator,attribute
Jesus,,other
Joseph,entity,entity
Judas,entity,entity
Jupiter,entity,entity
K,action,action
L,number,function
Last_Supper,event,action
Lent,time,function
M,entity,entity
Mars,entity,entity
Mary,person,entity
Mercury,entity,entity
Milky_Way,object,entity
Moon,entity,entity
N,person,entity
Nativity,object,entity
Neptune,entity,entity
O,shape,attribute
P,letter,function
PE,person,entity
PE_class,content,entity
Palm_Sunday,time,function
Pluto,food,entity
Puritans,object,entity
Q,emotion,function
R,modifier,attribute
Rudolph,object,entity
S,entity,entity
Saturn,entity,entity
Shrove_Tuesday_1,time,function
T,entity,entity
U,person,entity
Uranus,entity,entity
V,action,action
Venus,object,entity
W,quality,attribute
Wii,entity,entity
Wii_Fit,object,entity
X,,other
Y,quality,attribute
Z,object,entity
Zero,quantity,attribute
a_-_lower_case,letter,function
above,location,function
absent,action,action
acne_spots,entity,entity
acorn,object,entity
across,adv,attribute
activity_centre,object,entity
add,action,action
aerial_indoor,place,entity
aerobics_dance,activity,action
aeroplane,object,entity
afraid_lady,person,entity
afraid_man,emotion,function
after,,other
afternoon,time,function
aftershave,object,entity
aftershave_1,object,entity
against,emotion,function
ahead,adverb,attribute
air_person_1a,person,entity
air_person_1b,person,entity
air_person_2a,entity,entity
air_person_2b,person,entity
air_steward_1a,person,entity
air_steward_1b,person,entity
air_steward_2a,person,entity
air_steward_2b,,other
airways,entity,entity
algebra_class,concept,attribute
algebra_formula,object,entity
almond,object,entity
ambulance,entity,entity
angel,entity,entity
angry_lady,,other
angry_man,emotion,function
ankle,body,entity
answer,quality,attribute
ant,entity,entity
ant_eater,entity,entity
antelope,animal,entity
apple,food,entity
apple_juice,drink,entity
apricot,object,entity
apron,object,entity
aquarium,place,entity
arch_lever_file,object,entity
archery,action,action
archery_target,object,entity
arm,body part,entity
arm_chair,object,entity
arms,body,entity
"armwrestle_,_to",,other
army_tank,object,entity
around,action,action
"arrest_,_to",,other
arrow_keys,object,entity
art,,other
art_class,entity,entity
art_room,place,entity
artichoke,entity,entity
artist_palette,content,entity
"ask_,_to",,other
asparagus,food,entity
assembly,action,action
at_key,action,action
atom,entity,entity
"attract_,_to",,other
aubergine,food,entity
aunt_maternal,entity,entity
aunt_paternal,person,entity
auroscope,device,entity
autumn,time,function
avocado,food,entity
awake,,other
away,action,action
b_-_lower_case,object,entity
baby,,other
baby_oil,object,entity
baby_powder,food,entity
back,body,entity
back_1,body,entity
back_ache,quality,attribute
back_garden,location,function
backstop,object,entity
backwards,action,action
bacon,object,entity
bad,adjective,attribute
badger,entity,entity
badger_2,entity,entity
badminton,activity,action
badminton_racket,object,entity
bagel,object,entity
bagel_2,entity,entity
"bake_,_to",,other
baked_beans,object,entity
baked_beans_2,,other
baker_1a,person,entity
baker_1b,entity,entity
baker_2a,person,entity
baker_2b,person,entity
baking_powder,food,entity
baking_tray,entity,entity
ball,object,entity
ball_beach,object,entity
ball_pool,entity,entity
balloon,object,entity
banana,food,entity
banana_bunch,object,entity
bank,entity,entity
bank_card,object,entity
banquet_buffet,object,entity
bap,quality,attribute
barbeque,object,entity
"barbeque_,_to",,other
base_rock,material,entity
baseball_base,entity,entity
baseball_bat,object,entity
baseball_game,time,function
baseball_glove,object,entity
baseball_player,person,entity
basket,object,entity
basket_2,object,entity
basketball,object,entity
basketball_ball,object,entity
basketball_game,noun,entity
bat,entity,entity
bath,place,entity
"bath_animal_,_to",,other
bath_mat,object,entity
"bathe_,_to",,other
battery_1,object,entity
battery_1a,entity,entity
battery_2,,other
battery_2a,object,entity
beach,place,entity
beach_bag,object,entity
beach_towel,object,entity
beads,object,entity
beak,entity,entity
beaker_1,object,entity
beaker_2,entity,entity
beanbag,object,entity
beans_on_toast,food,entity
beansprouts,food,entity
bear,entity,entity
bed_four_poster,object,entity
bed_time,,other
bee_bumble,,other
bee_honey,food,entity
beef,object,entity
beehive,,other
beer,object,entity
bees_nest,entity,entity
beetle,entity,entity
beetroot,food,entity
before,,other
begin_start,action,action
behind,place,entity
bell,object,entity
below,,other
belt,entity,entity
bench,object,entity
"bend_,_to",,other
"bend_2_,_to",,other
bendy,object,entity
bendy_1,object,entity
berry,food,entity
beside_next_to,action,action
between,location,function
